brand,name,fragrantica_url,gender,concentration,release_year,main_accords,notes_top,notes_heart,notes_base,notes_undifferentiated,longevity,sillage,season_winter_votes,season_spring_votes,season_summer_votes,season_fall_votes,day_votes,night_votes,fragrantica_rating
Dior,Miss Dior Couture Edition,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Couture-Edition-13763.html,femme,Extrait de Parfum,2011,"citrus;woody;patchouli;warm spicy;white floral;earthy;rose;fresh spicy;f_gender","Orange;Mandarine;Bergamote","Jasmin;Rose","Patchouli;Bois de santal;Vétiver",,longue tenue,puissant,,,,,,,4.12
Dior,Miss Dior Eau de Parfum (2017),https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Eau-de-Parfum-2017-45202.html,femme,Extrait de Parfum,2017,"citrus;rose;woody;patchouli;sweet;warm spicy;soft spicy;balsamic;f_gender","Poivre rose;Orange sanguine;Orange douce;Mandarine;Bergamote de Calabre;Citron","Rose de Grasse;Rose de Damas;Feuille de jasmin","Patchouli;Palissandre",,longue tenue,modéré (e),,,,,,,3.97
Dior,Miss Dior Eau de Parfum (2021),https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Eau-de-Parfum-2021-68905.html,femme,Extrait de Parfum,2021,"powdery;vanilla;rose;floral;fruity;sweet;fresh;iris;f_gender","Iris;Pivoine;Muguet","Rose;Abricot;Pêche","Vanille;Musc;Fève de tonka;Bois de santal;Benjoin",,faible,puissant,,,,,,,3.89
Dior,Miss Dior Eau de Parfum Roller-Pearl,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Eau-de-Parfum-Roller-Pearl-135010.html,femme,Extrait de Parfum,2026,"rose;floral;fresh;fruity;vanilla;powdery;sweet;amber;f_gender","Pivoine;Muguet;Iris","Rose;Abricot;Pêche","Vanille;Benjoin;Fève de tonka;Musc;Bois de santal",,,,,,,,,,3.25
Dior,Miss Dior Eau De Toilette,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Eau-De-Toilette-17478.html,femme,Extrait de Parfum,2013,"patchouli;rose;citrus;woody;warm spicy;earthy;floral;white floral;f_gender",Orange sanguine,"Rose de Damas;Rose de Bulgarie;Néroli",Patchouli,,,,,,,,,,4.12
Dior,Miss Dior Eau de Toilette 2019,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Eau-de-Toilette-2019-53144.html,femme,Extrait de Parfum,2019,"citrus;rose;patchouli;woody;warm spicy;white floral;earthy;floral;f_gender","Orange sanguine;Mandarine","Rose de Grasse;Rose de Mai;Muguet",Patchouli,,,,,,,,,,3.96
Dior,Miss Dior Eau de Toilette Originale,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Eau-de-Toilette-Originale-23282.html,femme,Extrait de Parfum,2011,"green;patchouli;white floral;balsamic;aromatic;woody;warm spicy;earthy;f_gender",Férule gommeuse,Jasmin Sambac,Patchouli,,modéré (e),modéré (e),,,,,,,4.20
Dior,Miss Dior Eau de Toilette Roller Pearl 2019,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Eau-de-Toilette-Roller-Pearl-2019-53145.html,femme,Extrait de Parfum,2019,"citrus;rose;patchouli;white floral;woody;floral;warm spicy;earthy;f_gender","Orange sanguine;Mandarine","Rose de Grasse;Rose de Mai;Muguet",Patchouli,,,,,,,,,,4.19
Dior,Miss Dior Eau Fraiche,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Eau-Fraiche-14152.html,femme,Extrait de Parfum,2012,"citrus;white floral;patchouli;woody;green;fresh;warm spicy;fresh spicy;f_gender","Agrumes;Bergamote;Férule gommeuse","Jasmin;Gardénia",Patchouli,,,,,,,,,,3.73
Dior,Miss Dior Edition d’Exception,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Edition-d-Exception-30169.html,femme,Extrait de Parfum,2015,"rose;citrus;musky;patchouli;white floral;floral;woody;powdery;f_gender",Mandarine,"Rose;Jasmin d'Egypte","Musc;Feuille de patchouli d'Indonésie",,,,,,,,,,4.06
Dior,Miss Dior Esprit de Parfum,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Esprit-de-Parfum-23283.html,femme,Extrait de Parfum,,"green;patchouli;white floral;aromatic;balsamic;woody;warm spicy;earthy;f_gender",Férule gommeuse,Jasmin Sambac,Patchouli,,,,,,,,,,4.30
Dior,Miss Dior Essence,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Essence-112972.html,femme,Extrait de Parfum,2025,"fruity;woody;sweet;white floral;floral;violet;rose;sour;f_gender","Mûre;Sureau noir","Jasmin Sambac;Jasmin","Notes boisées;Chêne",,longue tenue,puissant,,,,,,,3.75
Dior,Miss Dior Essence by Maison Février,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Essence-by-Maison-Fevrier-118329.html,femme,Extrait de Parfum,2025,"woody;fruity;sweet;floral;white floral;violet;rose;honey;f_gender","Mûre;Sureau noir","Jasmin Sambac;Jasmin","Notes boisées;Chêne",,faible,discret,,,,,,,3.08
Dior,Miss Dior Le Parfum,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Le-Parfum-15967.html,femme,Extrait de Parfum,2012,"amber;patchouli;rose;vanilla;woody;citrus;warm spicy;balsamic;f_gender",Mandarine,"Rose de Turquie;Rose de Bulgarie","Ambre;Patchouli;Vanille",,très longue tenue,puissant,,,,,,,4.18
