brand,name,fragrantica_url,gender,concentration,release_year,main_accords,notes_top,notes_heart,notes_base,notes_undifferentiated,longevity,sillage,season_winter_votes,season_spring_votes,season_summer_votes,season_fall_votes,day_votes,night_votes,fragrantica_rating
dior,Cruise Collection Escale Aux Marquises,https://www.fragrantica.com/perfume/Dior/Cruise-Collection-Escale-Aux-Marquises-8824.html,femme,Eau de Parfum,2010,"fresh spicy;citrus;warm spicy;aromatic;soft spicy;white floral;fresh;fruity;sweet",,,,,,,,,,,,,3.99
dior,Addict To Life,https://www.fragrantica.com/perfume/Dior/Addict-To-Life-12109.html,femme,Eau de Toilette,2011,"white floral;rose;fruity;sweet;musky;floral;woody;fresh;powdery;green","Raspberry;Peach;Pomegranate","Rose;Lily-of-the-Valley;Jasmine","Musk;Virginia Cedar",,,,44,192,190,67,249,61,3.96
dior,Dior Addict,https://www.fragrantica.com/perfume/Dior/Dior-Addict-215.html,femme,Eau de Parfum,2002,"vanilla;white floral;sweet;fruity;amber;aromatic;citrus;powdery","Blackberry;Mandarin Leaf;Silk Tree blossom","Jasmine;Orange Blossom;Night blooming Cereus;Rose","Vanilla;Tonka Bean;Mysore Sandalwood",,,,,,,,,,4.10
dior,Dior Addict 2,https://www.fragrantica.com/perfume/Dior/Dior-Addict-2-217.html,femme,Eau de Parfum,2005,"citrus;floral;woody;fresh spicy;fruity;aquatic;ozonic;sweet",,,,,,,,,,,,,3.98
dior,Dior Addict 2 Eau Fraiche,https://www.fragrantica.com/perfume/Dior/Dior-Addict-2-Eau-Fraiche-6687.html,femme,Eau Fraiche,2009,"citrus;fruity;sweet;rose;aromatic;woody;fresh;musky","Grapefruit;Amalfi Lemon","Raspberry;Red Berries;Rose","Virginia Cedar;Musk",,,,14,114,133,28,158,12,4.03
dior,Dior Addict 2 Logomania,https://www.fragrantica.com/perfume/Dior/Dior-Addict-2-Logomania-1247.html,femme,Eau de Parfum,2006,"citrus;floral;woody;powdery;musky;fresh spicy;sweet;fruity",,,,,,,1,11,20,0,17,3,3.97
dior,Dior Addict 2 Sparkle in Pink,https://www.fragrantica.com/perfume/Dior/Dior-Addict-2-Sparkle-in-Pink-6209.html,femme,Eau de Parfum,,"citrus;floral;woody;fresh spicy;white floral;powdery;sweet;aromatic",,,,,,,3,36,30,10,42,12,3.97
dior,Dior Addict 2 Summer Breeze,https://www.fragrantica.com/perfume/Dior/Dior-Addict-2-Summer-Breeze-3190.html,femme,Eau de Parfum,2006,"citrus;white floral;woody;floral;aromatic;fresh spicy;green",,,,,,,1,16,18,3,19,2,3.55
dior,Dior Addict 2 Summer Litchi,https://www.fragrantica.com/perfume/Dior/Dior-Addict-2-Summer-Litchi-3442.html,femme,Eau de Parfum,2008,"citrus;fruity;musky;rose;tropical;fresh;powdery;fresh spicy;aquatic;floral",Grapefruit,"Litchi;Rose",Musk,,,,1,18,23,5,27,2,3.87
dior,Dior Addict 2 Summer Peonies,https://www.fragrantica.com/perfume/Dior/Dior-Addict-2-Summer-Peonies-1246.html,femme,Eau de Parfum,2007,"floral;fresh;citrus;rose;powdery;violet","Bergamot;Orange","Peony;Violet",Musk,,,,5,21,43,3,47,7,3.83
